County,Total_Registrations
Anderson,222.0
Andrews,87.0
Angelina,447.0
Aransas,237.0
Archer,48.0
Armstrong,6.0
Atascosa,276.0
Austin,303.0
Bailey,6.0
Bandera,303.0
Bastrop,2112.0
Baylor,6.0
Bee,108.0
Bell,5349.0
Bexar,62193.0
Blanco,297.0
Borden,3.0
Bosque,147.0
Bowie,576.0
Brazoria,9501.0
Brazos,3606.0
Brewster,63.0
Briscoe,3.0
Brooks,18.0
Brown,138.0
Burleson,87.0
Burnet,1020.0
Caldwell,414.0
Calhoun,111.0
Callahan,87.0
Cameron,4425.0
Camp,45.0
Carson,27.0
Cass,150.0
Castro,30.0
Chambers,606.0
Cherokee,246.0
Childress,21.0
Clay,45.0
Coke,6.0
Coleman,18.0
Collin,83877.0
Collingsworth,3.0
Colorado,171.0
Comal,6393.0
Comanche,57.0
Concho,24.0
Cooke,360.0
Coryell,678.0
Crockett,18.0
Crosby,18.0
Culbertson,48.0
Dallam,51.0
Dallas,88461.0
Dawson,30.0
Deaf Smith,66.0
Delta,36.0
Denton,58482.0
Dewitt,69.0
Dickens,9.0
Dimmit,15.0
Donley,3.0
Duval,27.0
Eastland,81.0
Ector,867.0
Edwards,9.0
El Paso,13869.0
Ellis,3882.0
Erath,273.0
Falls,39.0
Fannin,237.0
Fayette,201.0
Fisher,3.0
Floyd,24.0
Foard,24.0
Fort Bend,46506.0
Franklin,57.0
Freestone,105.0
Frio,51.0
Gains,90.0
Galveston,7881.0
Garza,9.0
Gillespie,507.0
Goliad,18.0
Gonzales,84.0
Gray,90.0
Grayson,1911.0
Gregg,1143.0
Grimes,258.0
Guadalupe,3081.0
Hale,129.0
Hall,6.0
Hamilton,54.0
Hansford,9.0
Hardeman,3.0
Hardin,336.0
Harris,122646.0
Harrison,441.0
Hartley,15.0
Haskell,21.0
Hays,10653.0
Hemphill,18.0
Henderson,591.0
Hidalgo,8727.0
Hill,294.0
Hockley,72.0
Hood,1131.0
Hopkins,261.0
Houston,45.0
Howard,171.0
Hudspeth,6.0
Hunt,1056.0
Hutchinson,60.0
Irion,6.0
Jack,24.0
Jackson,36.0
Jasper,114.0
Jeff Davis,39.0
Jefferson,1653.0
Jim Hogg,9.0
Jim Wells,150.0
Johnson,2700.0
Jones,51.0
Karnes,63.0
Kaufman,3444.0
Kendall,2415.0
Kent,6.0
Kerr,642.0
Kimble,12.0
King,3.0
Kinney,18.0
Kleberg,165.0
Knox,6.0
Lamar,294.0
Lamb,54.0
Lampasas,222.0
Lasalle,9.0
Lavaca,87.0
Lee,120.0
Leon,66.0
Liberty,435.0
Limestone,75.0
Lipscomb,12.0
Live Oak,27.0
Llano,423.0
Loving,3.0
Lubbock,2928.0
Lynn,45.0
Madison,60.0
Marion,54.0
Martin,6.0
Mason,30.0
Matagorda,138.0
Maverick,255.0
McCulloch,24.0
McLennan,3084.0
Medina,750.0
Menard,3.0
Midland,1281.0
Milam,159.0
Mills,147.0
Mitchell,6.0
Montague,114.0
Montgomery,21369.0
Moore,63.0
Morris,66.0
Motley,3.0
Nacogdoches,363.0
Navarro,306.0
Newton,18.0
Nolan,39.0
Nueces,3717.0
Ochiltree,24.0
Oldham,9.0
Orange,417.0
Palo Pinto,177.0
Panola,87.0
Parker,3240.0
Parmer,15.0
Pecos,39.0
Polk,453.0
Potter,687.0
Presidio,24.0
Rains,102.0
Randall,1542.0
Real,15.0
Red River,24.0
Reeves,54.0
Refugio,18.0
Roberts,3.0
Robertson,69.0
Rockwall,4578.0
Runnels,33.0
Rusk,282.0
Sabine,21.0
San Augustine,21.0
San Jacinto,177.0
San Patricio,444.0
San Saba,21.0
Scurry,57.0
Shackelford,9.0
Shelby,51.0
Sherman,12.0
Smith,2529.0
Somervell,69.0
Starr,180.0
Stephens,18.0
Sterling,3.0
Stonewall,9.0
Sutton,9.0
Swisher,24.0
Tarrant,58368.0
Taylor,1302.0
Terry,48.0
Throckmorton,3.0
Titus,171.0
Tom Green,912.0
Travis,107808.0
Trinity,66.0
Tyler,48.0
Upshur,216.0
Upton,9.0
Uvalde,99.0
Val Verde,333.0
Van Zandt,468.0
Victoria,594.0
Walker,369.0
Waller,1311.0
Ward,33.0
Washington,399.0
Webb,1698.0
Wharton,210.0
Wheeler,6.0
Wichita,1047.0
Wilbarger,54.0
Willacy,75.0
Williamson,43380.0
Wilson,531.0
Winkler,9.0
Wise,801.0
Wood,285.0
Yoakum,6.0
Young,96.0
Zapata,33.0
Zavala,9.0
Cochran,0.0
Cottle,0.0
Crane,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,1690176.0
