county,grand_total,total_kw,pop_estimate,daily_miles,opt_label,cons_label,kw_per_ev,ev_per_capita,kw_per_capita,miles_per_ev,miles_per_kw
Anderson,100.0,234.5,60303.0,1257960.19,over,over,2.345,0.001658292290599141,0.0038886954214549857,12579.6019,5364.435778251599
Andrews,39.0,38.4,19823.0,917271.504,under,under,0.9846153846153846,0.001967411592594461,0.0019371437219391616,23519.782153846154,23887.27875
Angelina,194.0,743.7,87492.0,2154617.346,over,over,3.8335051546391754,0.002217345585882138,0.008500205733095598,11106.274979381444,2897.159265832997
Aransas,81.0,89.6,25943.0,566097.156,under,under,1.1061728395061727,0.0031222295031415027,0.0034537254750799827,6988.853777777777,6318.048616071428
Atascosa,110.0,3210.4,52314.0,2315784.589,over,over,29.185454545454547,0.0021026876170814695,0.061367893871621365,21052.587172727275,721.3383344754548
Austin,127.0,4480.0,32958.0,1728642.514,over,over,35.275590551181104,0.0038533891619637116,0.13593057831179076,13611.358377952756,385.85770401785715
Bandera,126.0,417.9,22918.0,432389.45,over,over,3.3166666666666664,0.005497861942577886,0.018234575442883323,3431.6623015873015,1034.6720507298398
Bastrop,885.0,5560.4,116842.0,3372182.986,over,over,6.282937853107344,0.007574331148046079,0.04758905188202872,3810.376255367232,606.4641007841163
Bee,48.0,191.7,30125.0,687632.687,over,over,3.99375,0.0015933609958506225,0.006363485477178423,14325.680979166667,3587.024971309338
Bell,2304.0,19532.9,402069.0,9386363.671,over,over,8.477821180555557,0.005730359714377383,0.04858096495875087,4073.9425655381947,480.54122383261057
Bexar,23430.0,57967.6,2167567.0,35856052.47,over,over,2.4740759709773794,0.010809354451327226,0.026743164109806063,1530.3479500640203,618.5533378991023
Blanco,122.0,2083.2,13682.0,977340.476,over,over,17.07540983606557,0.008916825025581056,0.1522584417482824,8010.987508196721,469.1534543010753
Bosque,51.0,44.8,18703.0,660117.961,under,under,0.8784313725490196,0.002726835267069454,0.0023953376463668927,12943.489431372549,14734.775915178572
Bowie,229.0,10303.0,92206.0,3115992.929,over,over,44.99126637554585,0.002483569398954515,0.11173893239051688,13606.956021834061,302.4354973308745
Brazoria,3827.0,6519.7,412599.0,6080658.085,over,over,1.7036059576691924,0.009275349673654081,0.015801540963502093,1588.8837431408415,932.6591844716781
Brazos,1454.0,14211.4,249858.0,4460264.666,over,over,9.774002751031636,0.005819305365447574,0.05687790665097776,3067.582301237964,313.8511804607569
Brewster,27.0,2044.8,9262.0,250587.928,over,over,75.73333333333333,0.0029151371194126537,0.22077305117685164,9281.034370370371,122.54886932707356
Brown,59.0,63.0,38346.0,803845.213,under,under,1.0677966101694916,0.0015386220205497313,0.0016429353778751369,13624.49513559322,12759.447825396825
Burnet,402.0,33.0,57023.0,2196482.572,under,under,0.08208955223880597,0.007049786928081651,0.0005787138523052101,5463.886995024876,66560.07793939394
