County Name,County Number,Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*
Anderson,1.0,"51,329",0.85,"60,303","1,257,960.190",20.861 
Andrews,2.0,"24,950",1.26,"19,823","917,271.504",46.273 
Angelina,3.0,"85,602",0.98,"87,492","2,154,617.346",24.626 
Aransas,4.0,"30,131",1.16,"25,943","566,097.156",21.821 
Archer,5.0,"12,662",1.41,"8,976","440,228.997",49.045 
Armstrong,6.0,"2,756",1.53,"1,806","414,560.405",229.546 
Atascosa,7.0,"55,837",1.07,"52,314","2,315,784.589",44.267 
Austin,8.0,"47,136",1.43,"32,958","1,728,642.514",52.450 
Bailey,9.0,"6,681",0.95,"7,057","245,874.230",34.841 
Bandera,10.0,"33,579",1.47,"22,918","432,389.450",18.867 
Bastrop,11.0,"123,045",1.05,"116,842","3,372,182.986",28.861 
Baylor,12.0,"4,263",1.21,"3,529","246,958.844",69.980 
Bee,13.0,"22,739",0.75,"30,125","687,632.687",22.826 
Bell,14.0,"351,723",0.87,"402,069","9,386,363.671",23.345 
Bexar,15.0,"1,773,138",0.82,"2,167,567","35,856,052.470",16.542 
Blanco,16.0,"21,264",1.55,"13,682","977,340.476",71.433 
Borden,17.0,968,1.51,642,"85,866.090",133.748 
Bosque,18.0,"25,773",1.38,"18,703","660,117.961",35.295 
Bowie,19.0,"87,604",0.95,"92,206","3,115,992.929",33.794 
Brazoria,20.0,"361,591",0.88,"412,599","6,080,658.085",14.737 
Brazos,21.0,"185,601",0.74,"249,858","4,460,264.666",17.851 
Brewster,22.0,"11,687",1.26,"9,262","250,587.928",27.055 
Briscoe,23.0,"2,009",1.38,"1,456","50,336.468",34.572 
Brooks,24.0,"6,175",0.93,"6,645","735,463.231",110.679 
Brown,25.0,"45,046",1.17,"38,346","803,845.213",20.963 
Burleson,26.0,"27,798",1.35,"20,660","876,699.601",42.435 
Burnet,27.0,"72,287",1.27,"57,023","2,196,482.572",38.519 
Caldwell,28.0,"55,130",1.04,"52,987","1,753,753.003",33.098 
Calhoun,29.0,"24,745",1.22,"20,228","548,957.040",27.138 
Callahan,30.0,"18,315",1.24,"14,746","1,161,211.100",78.748 
Cameron,31.0,"366,844",0.85,"433,199","7,810,181.796",18.029 
Camp,32.0,"19,390",1.51,"12,881","292,196.884",22.684 
Carson,33.0,"8,065",1.43,"5,648","925,388.783",163.844 
Cass,34.0,"34,891",1.23,"28,474","914,372.040",32.113 
Castro,35.0,"9,017",1.2,"7,490","306,828.558",40.965 
Chambers,36.0,"60,491",1.06,"57,010","3,265,240.154",57.275 
Cherokee,37.0,"55,307",1.03,"53,809","1,291,186.407",23.996 
Childress,38.0,"6,702",1.02,"6,577","469,859.009",71.440 
Clay,39.0,"14,171",1.32,"10,752","827,464.952",76.959 
Cochran,40.0,"3,040",1.17,"2,596","102,189.647",39.364 
Coke,41.0,"4,815",1.37,"3,505","220,252.127",62.839 
Coleman,42.0,"11,802",1.44,"8,188","413,600.075",50.513 
Collin,43.0,"956,767",0.75,"1,272,999","11,299,496.486",8.876 
Collingsworth,44.0,"3,474",1.33,"2,607","86,626.584",33.228 
Colorado,45.0,"31,580",1.47,"21,543","2,184,371.781",101.396 
Comal,46.0,"226,587",1.09,"207,603","5,835,263.023",28.108 
Comanche,47.0,"19,036",1.31,"14,524","579,910.809",39.928 
Concho,48.0,"3,666",1.1,"3,322","388,461.631",116.936 
Cooke,49.0,"61,042",1.36,"44,986","1,983,490.817",44.091 
Coryell,50.0,"67,125",0.77,"87,186","1,357,698.169",15.572 
Cottle,51.0,"1,607",1.32,"1,220","59,561.367",48.821 
Crane,52.0,"5,689",1.2,"4,743","371,455.624",78.317 
Crockett,53.0,"5,094",1.87,"2,723","654,087.784",240.209 
Crosby,54.0,"5,667",1.1,"5,169","194,658.045",37.659 
Culberson,55.0,"2,901",1.27,"2,282","868,902.539",380.764 
Dallam,56.0,"8,753",1.12,"7,831","463,844.014",59.232 
Dallas,57.0,"2,119,019",0.79,"2,691,548","43,641,546.969",16.214 
Dawson,58.0,"11,378",0.98,"11,655","639,348.874",54.856 
Deaf Smith,59.0,"21,475",1.14,"18,794","493,271.598",26.246 
Delta,60.0,"7,148",1.29,"5,531","192,804.505",34.859 
Denton,61.0,"819,821",0.77,"1,058,299","13,345,256.759",12.610 
Dewitt,62.0,"26,295",1.28,"20,471","650,035.006",31.754 
Dickens,63.0,"2,538",1.46,"1,741","118,032.649",67.796 
Dimmit,64.0,"10,657",1.33,"8,021","611,967.761",76.296 
Donley,65.0,"3,577",1.13,"3,172","607,946.394",191.660 
Duval,67.0,"11,348",1.14,"9,963","437,046.454",43.867 
Eastland,68.0,"28,825",1.58,"18,223","1,606,790.717",88.174 
Ector,69.0,"200,278",1.14,"175,677","3,687,075.213",20.988 
Edwards,70.0,"3,243",2.28,"1,421","107,667.238",75.769 
Ellis,71.0,"705,428",2.99,"235,760","7,452,065.169",31.609 
El Paso,72.0,"215,506",0.25,"879,329","12,836,305.799",14.598 
Erath,73.0,"49,328",1.14,"43,427","1,401,436.104",32.271 
Falls,74.0,"19,019",1.07,"17,855","905,566.500",50.718 
Fannin,75.0,"42,899",1.09,"39,397","1,100,642.452",27.937 
Fayette,76.0,"38,066",1.49,"25,486","2,177,245.173",85.429 
Fisher,77.0,"4,652",1.25,"3,736","205,841.387",55.097 
Floyd,78.0,"6,740",1.36,"4,970","199,179.743",40.076 
