Date,EV_Registrations
7-Nov-23,235183
14-Nov-23,237106
21-Nov-23,238335
28-Nov-23,239258
5-Dec-23,239806
12-Dec-23,241893
19-Dec-23,243921
26-Dec-23,245470
2-Jan-24,245666
9-Jan-24,247174
16-Jan-24,246126
23-Jan-24,250870
30-Jan-24,253076
6-Feb-24,254836
13-Feb-24,254115
20-Feb-24,253450
27-Feb-24,258670
5-Mar-24,260500
12-Mar-24,263272
19-Mar-24,264937
26-Mar-24,266243
2-Apr-24,266801
9-Apr-24,268384
16-Apr-24,270897
23-Apr-24,272711
30-Apr-24,274669
7-May-24,275717
14-May-24,277857
21-May-24,279711
28-May-24,281380
4-Jun-24,281696
11-Jun-24,283396
18-Jun-24,286300
25-Jun-24,288166
2-Jul-24,289596
9-Jul-24,290716
16-Jul-24,293436
23-Jul-24,295274
30-Jul-24,296534
6-Aug-24,296838
13-Aug-24,298956
20-Aug-24,300661
27-Aug-24,302412
3-Sep-24,303626
10-Sep-24,302522
17-Sep-24,307154
24-Sep-24,308898
1-Oct-24,309807
8-Oct-24,319081
15-Oct-24,321732
22-Oct-24,323392
29-Oct-24,325193
5-Nov-24,326332
12-Nov-24,325326
19-Nov-24,329642
26-Nov-24,331285
3-Dec-24,331292
10-Dec-24,331984
17-Dec-24,334398
31-Dec-24,336006
7-Jan-25,335794
14-Jan-25,338333
21-Jan-25,347636
28-Jan-25,349500
4-Feb-25,351906
11-Feb-25,354554
18-Feb-25,357938
25-Feb-25,357023
4-Mar-25,357334
11-Mar-25,358773
18-Mar-25,361422
25-Mar-25,362947
1-Apr-25,363578
8-Apr-25,365054
15-Apr-25,367917
22-Apr-25,369873
29-Apr-25,371403
6-May-25,372447
13-May-25,374962
20-May-25,376371
27-May-25,377815
3-Jun-25,383547
10-Jun-25,385238
17-Jun-25,388193
24-Jun-25,389930
1-Jul-25,390714
8-Jul-25,392624
15-Jul-25,394239
22-Jul-25,395159
29-Jul-25,395699
5-Aug-25,395779
12-Aug-25,398462
19-Aug-25,399821
26-Aug-25,401455
2-Sep-25,402673
9-Sep-25,403988
16-Sep-25,407601
23-Sep-25,410404
30-Sep-25,413579
7-Oct-25,426495
14-Oct-25,431963
21-Oct-25,435554
28-Oct-25,438959
4-Nov-25,441187
11-Nov-25,443655
18-Nov-25,447070
25-Nov-25,451107
2-Dec-25,451175
9-Dec-25,451889
16-Dec-25,454601
23-Dec-25,456155
30-Dec-25,456667
6-Jan-26,456254
13-Jan-26,455799
20-Jan-26,460977
27-Jan-26,463705
3-Feb-26,465089
10-Feb-26,465089
17-Feb-26,466068
