County Name,County Number,District Abbreviation,District Name,Square Miles,Statewide Percent of Square Miles,Per Capita Square Miles,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**, Daily Vehicle Miles* ,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*,Center Line Miles*,Statewide Percent of Center Line Miles*,Per Capita Center Line Miles*, Lane Miles* ,Statewide Percent of Lane Miles*,Per Capita Lane Miles*, Construction Expenditures ,Statewide Percent of Construction Expenditures,Per Capita Construction Expenditures, Non-Contract Maintenance Expenditures ,Statewide Percent of Non-Contract Maintenance Expenditures,Per Capita Non-Contract Maintenance Expenditures,Contract Maintenance Expenditures,Statewide Percent of Contract Maintenance Expenditures,Per Capita Contract Maintenance Expenditures,Combined Construction & Maintenance Expenditures,Statewide Percent of Combined Construction & Maintenance Expenditures,Per Capita Combined Construction & Maintenance Expenditures,,
Anderson,1,TYL,Tyler,"1,063 ",0.41%,0.02 ,"51,329",0.19%,0.85 ,"60,303",0.19%,"1,257,960.190",0.20%,20.861 ,443.990,0.55%,0.007 ,"1,013.180",0.50%,0.017 ,"$15,687,323",0.13%,$260 ,"$3,588,549",0.59%,$60 ,"$5,217,074",0.13%,$87 ,"$24,492,947",0.15%,$406 ,,
Andrews,2,ODA,Odessa,"1,501 ",0.57%,0.08 ,"24,950",0.09%,1.26 ,"19,823",0.06%,"917,271.504",0.15%,46.273 ,242.710,0.30%,0.012 ,556.136,0.28%,0.028 ,"$17,590,381",0.15%,$887 ,"$1,032,209",0.17%,$52 ,"$14,243,846",0.35%,$719 ,"$32,866,436",0.20%,"$1,658 ",,
Angelina,3,LFK,Lufkin,798 ,0.31%,0.01 ,"85,602",0.32%,0.98 ,"87,492",0.28%,"2,154,617.346",0.35%,24.626 ,380.194,0.47%,0.004 ,989.083,0.49%,0.011 ,"$63,504,127",0.53%,$726 ,"$4,283,559",0.71%,$49 ,"$30,864,001",0.77%,$353 ,"$98,651,687",0.59%,"$1,128 ",,
Aransas,4,CRP,Corpus Christi,252 ,0.10%,0.01 ,"30,131",0.11%,1.16 ,"25,943",0.08%,"566,097.156",0.09%,21.821 ,81.570,0.10%,0.003 ,231.225,0.11%,0.009 ,"$9,875,023",0.08%,$381 ,"$971,751",0.16%,$37 ,"$1,159,892",0.03%,$45 ,"$12,006,665",0.07%,$463 ,,
Archer,5,WFS,Wichita Falls,903 ,0.35%,0.10 ,"12,662",0.05%,1.41 ,"8,976",0.03%,"440,228.997",0.07%,49.045 ,263.989,0.33%,0.029 ,579.716,0.29%,0.065 ,"$2,907,865",0.02%,$324 ,"$2,590,818",0.43%,$289 ,"$5,529,469",0.14%,$616 ,"$11,028,152",0.07%,"$1,229 ",,
Armstrong,6,AMA,Amarillo,909 ,0.35%,0.50 ,"2,756",0.01%,1.53 ,"1,806",0.01%,"414,560.405",0.07%,229.546 ,153.915,0.19%,0.085 ,378.654,0.19%,0.210 ,"$3,070,109",0.03%,"$1,700 ","$2,182,069",0.36%,"$1,208 ","$351,669",0.01%,$195 ,"$5,603,847",0.03%,"$3,103 ",,
Atascosa,7,SAT,San Antonio,"1,220 ",0.47%,0.02 ,"55,837",0.21%,1.07 ,"52,314",0.17%,"2,315,784.589",0.37%,44.267 ,425.978,0.52%,0.008 ,"1,022.722",0.51%,0.020 ,"$7,723,386",0.06%,$148 ,"$2,645,499",0.44%,$51 ,"$6,985,438",0.17%,$134 ,"$17,354,323",0.10%,$332 ,,
Austin,8,YKM,Yoakum,647 ,0.25%,0.02 ,"47,136",0.17%,1.43 ,"32,958",0.10%,"1,728,642.514",0.28%,52.450 ,291.870,0.36%,0.009 ,660.972,0.33%,0.020 ,"$5,617,772",0.05%,$170 ,"$2,789,084",0.46%,$85 ,"$8,326,903",0.21%,$253 ,"$16,733,759",0.10%,$508 ,,
Bailey,9,LBB,Lubbock,827 ,0.32%,0.12 ,"6,681",0.02%,0.95 ,"7,057",0.02%,"245,874.230",0.04%,34.841 ,225.165,0.28%,0.032 ,491.098,0.24%,0.070 ,"$459,766",0.00%,$65 ,"$1,128,934",0.19%,$160 ,"$412,872",0.01%,$59 ,"$2,001,572",0.01%,$284 ,,
Bandera,10,SAT,San Antonio,791 ,0.30%,0.03 ,"33,579",0.12%,1.47 ,"22,918",0.07%,"432,389.450",0.07%,18.867 ,195.308,0.24%,0.009 ,414.002,0.21%,0.018 ,"$12,560,064",0.10%,$548 ,"$1,446,123",0.24%,$63 ,"$5,726,646",0.14%,$250 ,"$19,732,834",0.12%,$861 ,,
Bastrop,11,AUS,Austin,888 ,0.34%,0.01 ,"123,045",0.46%,1.05 ,"116,842",0.37%,"3,372,182.986",0.54%,28.861 ,332.897,0.41%,0.003 ,818.891,0.41%,0.007 ,"$23,247,539",0.19%,$199 ,"$2,823,124",0.47%,$24 ,"$6,021,383",0.15%,$52 ,"$32,092,046",0.19%,$275 ,,
Baylor,12,WFS,Wichita Falls,867 ,0.33%,0.25 ,"4,263",0.02%,1.21 ,"3,529",0.01%,"246,958.844",0.04%,69.980 ,227.113,0.28%,0.064 ,530.140,0.26%,0.150 ,"$4,699,827",0.04%,"$1,332 ","$1,819,407",0.30%,$516 ,"$5,246,600",0.13%,"$1,487 ","$11,765,834",0.07%,"$3,334 ",,
Bee,13,CRP,Corpus Christi,880 ,0.34%,0.03 ,"22,739",0.08%,0.75 ,"30,125",0.10%,"687,632.687",0.11%,22.826 ,291.853,0.36%,0.010 ,678.878,0.34%,0.023 ,"$4,946,680",0.04%,$164 ,"$1,914,539",0.32%,$64 ,"$1,454,420",0.04%,$48 ,"$8,315,639",0.05%,$276 ,,
Bell,14,WAC,Waco,"1,054 ",0.40%,0.00 ,"351,723",1.30%,0.87 ,"402,069",1.27%,"9,386,363.671",1.50%,23.345 ,609.854,0.75%,0.002 ,"1,656.115",0.82%,0.004 ,"$81,852,609",0.68%,$204 ,"$3,513,424",0.58%,$9 ,"$38,503,361",0.96%,$96 ,"$123,869,393",0.74%,$308 ,,
Bexar,15,SAT,San Antonio,"1,240 ",0.47%,0.00 ,"1,773,138",6.58%,0.82 ,"2,167,567",6.87%,"35,856,052.470",5.74%,16.542 ,"1,048.142",1.29%,0.000 ,"3,592.286",1.78%,0.002 ,"$908,480,694",7.52%,$419 ,"$8,437,219",1.39%,$4 ,"$192,679,622",4.79%,$89 ,"$1,109,597,535",6.64%,$512 ,,
Blanco,16,AUS,Austin,709 ,0.27%,0.05 ,"21,264",0.08%,1.55 ,"13,682",0.04%,"977,340.476",0.16%,71.433 ,184.348,0.23%,0.013 ,455.978,0.23%,0.033 ,"$4,985,188",0.04%,$364 ,"$1,448,647",0.24%,$106 ,"$6,179,985",0.15%,$452 ,"$12,613,820",0.08%,$922 ,,
Borden,17,ABL,Abilene,897 ,0.34%,1.40 ,968,0.00%,1.51 ,642,0.00%,"85,866.090",0.01%,133.748 ,171.980,0.21%,0.268 ,343.960,0.17%,0.536 ,"$309,663",0.00%,$482 ,"$1,364,840",0.23%,"$2,126 ","$637,650",0.02%,$993 ,"$2,312,153",0.01%,"$3,601 ",,
Bosque,18,WAC,Waco,983 ,0.38%,0.05 ,"25,773",0.10%,1.38 ,"18,703",0.06%,"660,117.961",0.11%,35.295 ,346.090,0.43%,0.019 ,697.295,0.35%,0.037 ,"$10,508,634",0.09%,$562 ,"$1,505,593",0.25%,$81 ,"$21,919,908",0.55%,"$1,172 ","$33,934,136",0.20%,"$1,814 ",,
Bowie,19,ATL,Atlanta,885 ,0.34%,0.01 ,"87,604",0.32%,0.95 ,"92,206",0.29%,"3,115,992.929",0.50%,33.794 ,506.275,0.62%,0.005 ,"1,223.076",0.61%,0.013 ,"$57,655,068",0.48%,$625 ,"$5,677,369",0.94%,$62 ,"$30,578,475",0.76%,$332 ,"$93,910,911",0.56%,"$1,018 ",,
Brazoria,20,HOU,Houston,"1,363 ",0.52%,0.00 ,"361,591",1.34%,0.88 ,"412,599",1.31%,"6,080,658.085",0.97%,14.737 ,499.468,0.62%,0.001 ,"1,446.321",0.72%,0.004 ,"$216,175,607",1.79%,$524 ,"$2,105,529",0.35%,$5 ,"$36,989,816",0.92%,$90 ,"$255,270,952",1.53%,$619 ,,
Brazos,21,BRY,Bryan,586 ,0.22%,0.00 ,"185,601",0.69%,0.74 ,"249,858",0.79%,"4,460,264.666",0.71%,17.851 ,342.467,0.42%,0.001 ,979.351,0.49%,0.004 ,"$47,039,115",0.39%,$188 ,"$3,723,725",0.61%,$15 ,"$27,278,860",0.68%,$109 ,"$78,041,701",0.47%,$312 ,,
Brewster,22,ELP,El Paso,"6,184 ",2.37%,0.67 ,"11,687",0.04%,1.26 ,"9,262",0.03%,"250,587.928",0.04%,27.055 ,288.766,0.36%,0.031 ,606.172,0.30%,0.065 ,"$15,080,230",0.12%,"$1,628 ","$978,904",0.16%,$106 ,"$935,483",0.02%,$101 ,"$16,994,618",0.10%,"$1,835 ",,
Briscoe,23,CHS,Childress,900 ,0.34%,0.62 ,"2,009",0.01%,1.38 ,"1,456",0.00%,"50,336.468",0.01%,34.572 ,161.679,0.20%,0.111 ,325.454,0.16%,0.224 ,"$291,480",0.00%,$200 ,"$1,417,647",0.23%,$974 ,"$185,396",0.00%,$127 ,"$1,894,524",0.01%,"$1,301 ",,
Brooks,24,PHR,Pharr,943 ,0.36%,0.14 ,"6,175",0.02%,0.93 ,"6,645",0.02%,"735,463.231",0.12%,110.679 ,131.486,0.16%,0.020 ,352.958,0.18%,0.053 ,"$2,515,282",0.02%,$379 ,"$1,219,082",0.20%,$183 ,"$5,071,493",0.13%,$763 ,"$8,805,857",0.05%,"$1,325 ",,
Brown,25,BWD,Brownwood,944 ,0.36%,0.02 ,"45,046",0.17%,1.17 ,"38,346",0.12%,"803,845.213",0.13%,20.963 ,328.457,0.40%,0.009 ,771.789,0.38%,0.020 ,"$24,131,888",0.20%,$629 ,"$1,959,985",0.32%,$51 ,"$4,262,818",0.11%,$111 ,"$30,354,690",0.18%,$792 ,,
Burleson,26,BRY,Bryan,659 ,0.25%,0.03 ,"27,798",0.10%,1.35 ,"20,660",0.07%,"876,699.601",0.14%,42.435 ,233.876,0.29%,0.011 ,542.612,0.27%,0.026 ,"$16,080,181",0.13%,$778 ,"$2,289,798",0.38%,$111 ,"$9,755,295",0.24%,$472 ,"$28,125,273",0.17%,"$1,361 ",,
